month,category_id,date,Inflation and Prices,Economic Growth and Business Activity,Quarterly Economic Performance,Committee Deliberations and Policies*,Credit Markets and Financial Conditions,Economic Forecasts and Projections,VIX
2008-09,2008,2008-09-16,-0.110528429,-0.002048555,-0.058255145,-0.243055473,-0.148924655,-0.112413552,31.54
2008-10,2008,2008-10-29,-0.079224093,-0.009557018,-0.035330403,-0.23814581,-0.042371159,-0.09308219,69.96
2008-12,2008,2008-12-16,-0.099860034,-0.022202469,-0.035033504,-0.258830072,-0.089976518,-0.083968301,51.29
2009-01,2009,2009-01-28,-0.150331696,-0.024680093,-0.046686465,-0.273644083,-0.141735544,-0.093297001,39.66
2009-03,2009,2009-03-18,-0.125330783,-0.019425492,-0.056292391,-0.363773253,-0.076094976,-0.129414827,40.06
2009-04,2009,2009-04-29,-0.148792551,-0.034536034,-0.040904755,-0.228696354,-0.099246134,-0.068842617,36.08
2009-06,2009,2009-06-24,-0.056441729,-0.008070866,-0.043042349,-0.184658896,0.013048504304843,-0.068724617,29.05
2009-08,2009,2009-08-12,-0.103462118,-0.021349921,-0.04213844,-0.173267454,-0.088143819,-0.053123628,25.45
2009-09,2009,2009-09-23,-0.002276458,-0.011071743,-0.044153533,-0.098146613,-0.108545027,-0.045235398,23.49
2009-11,2009,2009-11-04,-0.11844366,-0.001083509,-0.011158372,-0.031153648,-0.004769451,-0.020707814,27.72
2009-12,2009,2009-12-16,-0.018381217,-0.014753755,-0.035153964,-0.06468737,-0.065839012,-0.049680365,20.54
2010-01,2010,2010-01-27,-0.115576619,-0.019664909,-0.057263059,-0.186857198,-0.098272213,-0.06127334,23.14
2010-03,2010,2010-03-16,-0.102695174,-0.001204817,-0.080136697,-0.167312822,-0.059699344,-0.082028473,17.69
2010-04,2010,2010-04-28,-0.041962115,-0.034336781,-0.023741497,-0.153756496,-0.067406031,-0.079598584,21.08
2010-06,2010,2010-06-23,-0.039548366,-0.029914307,-0.030335776,-0.119777932,-0.115909308,-0.026956293,26.91
2010-08,2010,2010-08-10,-0.099642973,-0.048909752,-0.068680225,-0.164378378,-0.075481064,-0.045475178,22.37
2010-09,2010,2010-09-21,-0.089609803,-0.022650653,-0.050168781,-0.221233329,-0.07253459,-0.061453752,22.35
2010-11,2010,2010-11-03,-0.058347949,-0.032218864,-0.048921733,-0.108427578,-0.030264748,-0.039860849,19.56
2010-12,2010,2010-12-14,-0.052710386,-0.018318323,-0.068646468,-0.140005496,-0.04443392,-0.034051744,17.61
2011-01,2011,2011-01-26,-0.047367722,-0.012672219,-0.026840223,-0.049115576,-0.010984801,-0.045787686,16.64
2011-03,2011,2011-03-15,-0.045090256,-0.005073984,0.006731764,-0.025049989,-0.04275302,-0.02202512,24.32
2011-04,2011,2011-04-27,-0.120293661,-0.005306155,-0.012944001,-0.107370237,0.002179323,-0.039271307,15.35
2011-06,2011,2011-06-22,-0.100079933,-0.038540254,-0.001402656,-0.1701577,-0.060428743,-0.052689728,18.52
2011-08,2011,2011-08-09,-0.125806309,-0.01136233,-0.011005094,-0.233105732,-0.067071355,-0.080309632,35.06
2011-09,2011,2011-09-21,-0.084259075,-0.028886126,-0.04269919,-0.24352,-0.117582934,-0.095590413,37.32
2011-11,2011,2011-11-02,-0.087444739,-0.016503123,-0.047083624,-0.17422047,-0.056430567,-0.060746362,32.74
2011-12,2011,2011-12-13,-0.057901362,-0.013992176,-0.034343573,-0.133705108,-0.047667784,-0.04745615,25.41
2012-01,2012,2012-01-25,-0.060256701,-0.0361605,-0.050514543,-0.135680174,0.004961148,-0.060552558,18.31
2012-03,2012,2012-03-13,-0.023532722,-0.019949763,-0.016703946,-0.060452022,0.015589135,-0.050533317,14.8
2012-04,2012,2012-04-25,-0.02254083,-0.046951208,-0.044218932,-0.059963819,-0.070710656,-0.03404199,16.82
2012-06,2012,2012-06-20,-0.029775427,-0.045581327,-0.068080976,-0.200888242,-0.014687167,-0.045007777,17.24
2012-08,2012,2012-08-01,-0.049938667,-0.018554415,-0.053573893,-0.236155632,-0.034385215,-0.046482985,18.96
2012-09,2012,2012-09-13,-0.00573956,-0.006920918,-0.033081438,-0.048165041,0.0135069087736604,-0.063634438,14.05
2012-10,2012,2012-10-24,-0.027187144,-0.01417086,-0.021648245,-0.10103443,-0.093778404,-0.057330871,18.33
2012-12,2012,2012-12-12,-0.059201175,-0.02743423,-0.019855817,-0.153452637,-0.067399518,-0.069222471,15.95
2013-01,2013,2013-01-30,-0.01731974,-0.001016031,-0.033850385,0.005723243,0.04832329,-0.000359127,14.32
2013-03,2013,2013-03-20,0.022407433,-0.014300699,-0.015093602,-0.07080949,-0.012730738,-0.033618029,12.67
2013-05,2013,2013-05-01,-0.017549817,-0.025608594,-0.041032666,-0.109325167,-0.026544578,-0.053877529,14.49
2013-06,2013,2013-06-19,-0.042362049,-0.018599354,0.0018783,-0.122648281,0.004885045,-0.013695627,16.64
2013-07,2013,2013-07-31,-0.01284658,-0.036349833,-0.019653251,-0.086244594,0.059279416,-0.04043049,13.45
2013-09,2013,2013-09-18,-0.052108,-0.043658853,-0.02593758,-0.115049735,0.02698326,-0.021425013,13.59
2013-10,2013,2013-10-30,-0.07281221,-0.038040174,-0.046964666,-0.145754377,-0.077943135,-0.077342093,13.65
2013-12,2013,2013-12-18,0.0270366986262837,-0.032072093,-0.039634255,0.015232355,0.001851539,0.026261444,13.8
2014-01,2014,2014-01-29,-0.037368736,-0.044178006,-0.048089577,-0.078329133,0.009834319,-0.002876301,17.35
2014-03,2014,2014-03-19,-0.008893571,-0.036096131,-0.032889502,-0.17082659,-0.009564243,-0.04335133,15.12
2014-04,2014,2014-04-30,-0.006423165,-0.022588982,-0.034826012,-0.072921348,-0.017988394,-0.022356622,13.41
2014-06,2014,2014-06-18,-0.006879358,-0.022366265,-0.034632841,-0.052977376,-0.038511625,0.0202136326027004,10.61
2014-07,2014,2014-07-30,0.0131646356202805,-0.007285911,-0.054688124,-0.057575305,-0.028552993,-0.007979747,13.33
2014-09,2014,2014-09-17,-0.016456146,-0.009549131,-0.02881187,-0.063138636,0.00837763,-0.009495532,12.65
2014-10,2014,2014-10-29,0.0200929553537981,-0.02601168,-0.079800811,-0.164417099,-0.102012122,-0.02174113,15.15
2014-12,2014,2014-12-17,0.009291879,0.002560528,-0.040644948,-0.130647211,0.004247469,-0.034206606,19.44
2015-01,2015,2015-01-28,-0.046792298,-0.023169135,-0.069927338,-0.135675524,-0.078242028,-0.038343586,20.44
2015-03,2015,2015-03-18,-0.052302174,-0.030002974,-0.03563544,-0.159143129,-0.011654213,-0.026243921,13.97
2015-04,2015,2015-04-29,-0.078564572,-0.013585372,-0.059739968,-0.199736227,-0.033595488,-0.025584467,13.39
2015-06,2015,2015-06-17,-0.023895083,0.008226565,-0.024943487,-0.033220358,-0.008858585,-0.00189178,14.5
2015-07,2015,2015-07-29,-0.049024088,-0.005596594,-0.058177405,-0.116934862,-0.034169402,-0.018174621,12.5
2015-09,2015,2015-09-17,-5.64e-05,0.002805119,-0.031815896,-0.176826503,-0.045953031,-0.030811062,21.14
2015-10,2015,2015-10-28,-0.015149602,-0.034192817,-0.054697813,-0.091618717,-0.027336356,-0.036858489,14.33
2015-12,2015,2015-12-16,-0.014641199,-0.009340726,-0.103308504,-0.103246549,-0.000375107,-0.005509852,17.86
2016-01,2016,2016-01-27,-0.037538561,-0.031073203,-0.067747462,-0.272331861,-0.068531358,-0.068495643,23.11
2016-03,2016,2016-03-16,-0.034294435,-0.030264344,-0.050737788,-0.197382231,-0.063598566,-0.0253858,14.99
2016-04,2016,2016-04-27,-0.040407942,-0.047292881,-0.038054501,-0.119467325,-0.026081453,-0.047473871,13.77
2016-06,2016,2016-06-15,-0.03288021,-0.021873936,-0.060637999,-0.11436162,-0.037390049,-0.029378439,20.14
2016-07,2016,2016-07-27,-0.024163089,-0.009658757,-0.075364516,-0.164414997,-0.048112572,-0.049111056,12.83
2016-09,2016,2016-09-21,-0.00895105,-0.023059678,-0.06685362,-0.087181624,-0.00588945,-0.02777683,13.3
2016-11,2016,2016-11-02,0.004119086,-0.002131041,-0.042936471,-0.037862924,0.001967678,-0.053012642,19.32
2016-12,2016,2016-12-14,-0.020933678,0.0213676036280455,-0.039251091,0.0315146096793058,0.0399169967732416,0.0210773138651668,13.19
2017-02,2017,2017-02-01,0.032804595,0.0145310182592067,-0.008912803,-0.015939248,-0.012886678,0.0294875542943615,11.81
2017-03,2017,2017-03-15,0.009978539,0.0164576028000051,0.005864697,-0.000779475,0.029267263,-0.013309321,11.63
2017-05,2017,2017-05-03,-0.064329683,-0.00518966,-0.10853288,-0.169868218,-0.039210645,-0.016021266,10.68
2017-06,2017,2017-06-14,-0.01186924,-0.008894383,-0.07939293,-0.13809207,-0.021528146,-0.039073599,10.64
2017-07,2017,2017-07-26,-0.07975363,-0.002196685,-0.083049208,-0.168955889,-0.004138079,-0.021386682,9.6
2017-09,2017,2017-09-20,-0.088671305,-0.036346626,-0.075626772,-0.193494403,-0.073928202,-0.028341646,9.78
2017-11,2017,2017-11-01,-0.026013172,-0.001255113,-0.084132394,-0.105394783,-0.018898237,0.002153132,10.2
2017-12,2017,2017-12-13,0.070886176,-0.00030539,-0.052551124,-0.007665196,-0.024591995,0.003776551,10.18
2018-01,2018,2018-01-31,0.0584421603410301,0.035575672,-0.007990514,0.1473945840813203,0.007259286,0.0230010533194617,13.54
2018-03,2018,2018-03-21,-0.031587101,0.059818361,0.0158544263362759,-0.001561634,-0.02048875,-0.031302374,17.86
2018-05,2018,2018-05-02,-0.033332275,0.036393956,0.007256849,0.0110689698537792,0.014537985,-0.013499444,15.97
2018-06,2018,2018-06-13,-0.03378103,0.035883067,-0.040575431,-0.042125369,-0.000466178,-0.00370093,12.94
2018-08,2018,2018-08-01,0.044593033,0.009610997,0.0190677213183376,-0.012372016,-0.01018961,-0.013792389,13.15
2018-09,2018,2018-09-26,-0.036469332,-0.019403766,0.000959091,-0.072973062,-0.004571915,-0.011639289,12.89
2018-11,2018,2018-11-08,0.0123593000700422,0.012497592,-0.002485639,-0.055572439,-0.03000805,-0.050701684,16.72
2018-12,2018,2018-12-19,-0.021960564,0.007086471,-0.017155939,-0.141717425,-0.064097535,-0.063033791,25.58
2019-01,2019,2019-01-30,-0.062042967,-0.012540038,-0.023137958,-0.160539991,-0.087617264,-0.055069707,17.66
2019-03,2019,2019-03-20,-0.065040727,-0.006172966,-0.0815508,-0.195615237,-0.027349052,-0.035489991,13.91
2019-05,2019,2019-05-01,-0.036055693,-0.013624827,-0.088243399,-0.131626799,-0.000133698,-0.001763126,14.8
2019-06,2019,2019-06-19,-0.053536499,-0.088899201,-0.076372363,-0.275960144,-0.124900053,-0.036536639,14.33
2019-07,2019,2019-07-31,-0.014314869,-0.007021734,-0.06953555,-0.093833388,-0.030596082,-0.001368704,16.12
2019-09,2019,2019-09-18,-0.03208527,-0.040045704,-0.094018948,-0.237686201,-0.075473013,-0.042327135,13.95
2019-10,2019,2019-10-30,-0.06620187,-0.018529063,-0.080107095,-0.224987191,-0.073956121,-0.054365023,12.33
2019-12,2019,2019-12-11,0.00057481,-0.01024407,-0.091803471,-0.120675203,-0.000941313,-0.051650554,14.99
2020-01,2020,2020-01-29,-0.01866773,0.0223148831218463,-0.112520081,-0.086689569,-0.033498164,-0.042411226,16.39
2020-03,2020,2020-03-15,-0.006695461,-0.054669804,-0.033128353,-0.126224768,-0.110639658,-0.058970982,57.83
2020-04,2020,2020-04-29,-0.08084609,-0.008742029,-0.042917105,-0.196146681,-0.061099684,-0.110098699,31.23
2020-06,2020,2020-06-10,-0.076372229,0.002094075,-0.038936626,-0.089598724,-0.006504485,-0.04943968,27.57
2020-07,2020,2020-07-29,-0.042967386,0.003819029,-0.043485558,-0.170984095,-0.049106178,-0.053498931,24.1
2020-09,2020,2020-09-16,-0.027026933,0.040886011,-0.011092273,-0.023622137,0.001839381,-0.021610967,26.04
2020-11,2020,2020-11-05,-0.094447802,0.018562464,-0.050266455,-0.122411099,-0.008245595,-0.060095811,27.58
2020-12,2020,2020-12-16,-0.00561351,0.041382945,-0.040628854,-0.050114357,-0.027354371,-0.029691615,22.5
2021-01,2021,2021-01-27,-0.063813732,0.056964264,-0.043444881,-0.083357379,0.017311801,-0.032393549,37.21
2021-03,2021,2021-03-17,-0.05760903,0.0143680709306387,-0.024877724,-0.040771577,-0.005580046,-0.008608756,19.23
2021-04,2021,2021-04-28,-0.046164797,0.046090117,-0.06444999,-0.018223391,-0.008055778,0.040456569,17.28
2021-06,2021,2021-06-16,-0.048673491,0.003316446,-0.013737129,-0.039272106,-0.058260417,-0.032871188,18.15
2021-07,2021,2021-07-28,-0.064743032,0.005229432,-0.006105287,-0.08782951,-0.037006329,-0.064212809,18.31
2021-09,2021,2021-09-22,-0.056961972,0.0149110516941311,-0.010021954,-0.096559537,0.003463302,-0.060648247,20.87
2021-11,2021,2021-11-03,-0.094536822,0.015537004,-0.047782228,-0.11000663,0.031289127,-0.04247763,15.1
2021-12,2021,2021-12-15,-0.024546705,0.028139063,-0.015598166,-0.050853821,-0.011291484,-0.019708945,19.29
2022-01,2022,2022-01-26,-0.054115761,0.000171396,-0.03286796,-0.09561848,-0.019273709,-0.068032635,31.96
2022-03,2022,2022-03-16,-0.040534921,2.605278504380093e-05,-0.043728976,-0.101658561,-0.016854323,-0.079206965,26.67
2022-05,2022,2022-05-04,0.00492437,-0.013941795,-0.007874593,-0.073372465,0.043990418,-0.050409022,25.42
2022-06,2022,2022-06-15,-0.035020707,-0.015533986,-0.045283637,-0.157469369,-0.018511637,-0.059743143,29.62
2022-07,2022,2022-07-27,-0.05489299,-0.022429081,-0.081616256,-0.219312298,-0.061225942,-0.083401668,23.24
2022-09,2022,2022-09-21,-0.041970468,-0.012080231,-0.049939954,-0.123951205,0.0424553076706105,-0.120047918,27.99
2022-11,2022,2022-11-02,-0.04841488,0.0166108692340165,-0.032246544,-0.081869314,0.002493465,-0.123267251,25.86
2022-12,2022,2022-12-14,-0.038132902,-0.039733287,-0.063164118,-0.17923031,-0.067148704,-0.071938626,21.14
2023-02,2023,2023-02-01,-0.034832503,0.002910219,-0.060188682,-0.160049536,-0.066100947,-0.033996724,17.87
2023-03,2023,2023-03-22,-0.017921352,0.0182982074718633,-0.068649328,-0.160852568,-0.097575672,-0.038652942,22.26
2023-05,2023,2023-05-03,-0.03823094,0.001558634,-0.07270655,-0.193604324,-0.089589694,-0.068794857,18.34
2023-06,2023,2023-06-14,0.033786567,-0.002482353,-0.05162244,-0.048958757,0.045507354,-0.051972693,13.88
2023-07,2023,2023-07-26,-0.00751684,0.000907172,-0.031669905,-0.158522006,-0.040729941,-0.049775264,13.19
2023-09,2023,2023-09-20,-0.01149121,-0.025636258,-0.070683645,-0.073463567,-6.5e-05,-0.031913316,15.14
2023-11,2023,2023-11-01,-0.055416064,-0.029674929,-0.027144589,-0.087488654,-0.027491487,-0.048681501,16.87
2023-12,2023,2023-12-13,-0.062617187,-0.006862599,-0.102174085,-0.173304517,-0.094937263,-0.048179149,12.19
2024-01,2024,2024-01-31,0.00781129,-0.00219658,-0.081460604,-0.075115854,-0.048020298,-0.03024993,14.35
2024-03,2024,2024-03-20,-0.033823684,0.007917254,-0.086288427,-0.069735514,0.0372838503860117,-0.018002071,13.04
2024-06,2024,2024-06-12,-0.016701678,0.00688405,-0.064886645,-0.116445048,-0.031096925,-0.025427711,12.04
